Parlamentare,id,Partito,dataIngresso,520001,521001,521007,521015,521024,521002,521008,521011,521010,521014,521020,521003,521017,521013,521021,521009,521018,521019,521006,521016,521004,521005,521012,521025,521023,521022,529005,529003,529007,529006,529008,529002,529009,529001,529004,532013,532008,532016,532002,532026,532007,532025,532004,532023,532029,532017,532015,532030,532018,532009,532024,532006,532010,532011,532028,532019,532021,532027,532022,532003,532020,532001,532012,532014,532005,533002,533003,533004,533001,533005
BASINI GIUSEPPE,200049,LEGA,2018-03-27,Favorevole,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Contrario,Non ha votato,Contrario,Non ha votato,Favorevole,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
BERSANI PIER LUIGI,300026,MISTO,2018-03-23,Favorevole,Contrario,Contrario,Non ha votato,Non ha votato,Contrario,Contrario,Contrario,Contrario,Non ha votato,Non ha votato,Contrario,Non ha votato,Non ha votato,Contrario,Contrario,Non ha votato,Non ha votato,Contrario,Non ha votato,Contrario,Contrario,Contrario,Non ha votato,Favorevole,Contrario,Contrario,Contrario,Non ha votato,Contrario,Non ha votato,Contrario,Non ha votato,Favorevole,Contrario,Contrario,Contrario,Contrario,Non ha votato,Non ha votato,Contrario,Contrario,Non ha votato,Contrario,Non ha votato,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Non ha votato,Contrario,Contrario,Non ha votato,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Non ha votato,Favorevole,Contrario,Non ha votato,Contrario,Favorevole
LETTA ENRICO,300127,PD,2018-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MINNITI DOMENICO,300146,PD,2018-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCESCHINI DARIO,300246,PD,2018-03-27,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
ZANETTIN PIERANTONIO,300271,FI,2018-03-27,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
MILANATO LORENA,300296,FI,2018-03-27,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Favorevole,Contrario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,Favorevole,Non ha votato,Contrario,Non ha votato
ORSINI ANDREA GIORGIO FELICE MARIA,300299,FI,2018-03-27,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,Favorevole,Favorevole,Non ha votato,Favorevole
SANTELLI JOLE,300306,FI,2018-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIRIELLI EDMONDO,300319,FDI,2018-03-27,Contrario,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Favorevole,Non ha votato,Favorevole,Non ha votato,Favorevole,Non ha votato,Favorevole,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Non ha votato,Favorevole,Non ha votato,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Non ha votato,Favorevole,Non ha votato,Favorevole,Favorevole,Non ha votato,Favorevole,Non ha votato,Non ha votato,Favorevole,Non ha votato
